Ê³ÎïÃû³Æ,ÄÜÁ¿£¨Ç§¿¨£©,µ°°×ÖÊ£¨¿Ë£©,Ö¬·¾£¨¿Ë£©,Ì¼Ë®»¯ºÏÎï£¨¿Ë£©,´ÖÏËÎ¬£¨¿Ë£©,µ¥²»±¥ºÍÖ¬·¾Ëá£¨¿Ë£©,¶à²»±¥ºÍÖ¬·¾Ëá£¨¿Ë£©,ºúÂÜ²·ËØ£¨Î¢¿Ë£©,Ò¶»ÆËØÀà£¨Î¢¿Ë£©,¸Æ£¨ºÁ¿Ë£©,Ã¾£¨ºÁ¿Ë£©,ÄÆ£¨ºÁ¿Ë£©,¼Ø£¨ºÁ¿Ë£©,Á×£¨ºÁ¿Ë£©,Áò£¨ºÁ¿Ë£©,ÂÈ£¨ºÁ¿Ë£©,Ìú£¨ºÁ¿Ë£©,Ð¿£¨ºÁ¿Ë£©,Îø£¨Î¢¿Ë£©,Í­£¨ºÁ¿Ë£©,ÃÌ£¨ºÁ¿Ë£©,Î¬ÉúËØA£¨Î¢¿Ë£©,Î¬ÉúËØC£¨ºÁ¿Ë£©,Î¬ÉúËØE£¨ºÁ¿Ë£©,Î¬ÉúËØB1£¨Áò°·ËØ£©£¨ºÁ¿Ë£©,Î¬ÉúËØB2£¨ºË»ÆËØ£©£¨ºÁ¿Ë£©,Î¬ÉúËØB3£¨ÑÌËá£©£¨ºÁ¿Ë£©,Î¬ÉúËØB4£¨µ¨¼î£©£¨ºÁ¿Ë£©,Î¬ÉúËØB5£¨·ºËá£©£¨ºÁ¿Ë£©,Î¬ÉúËØB6£¨ºÁ¿Ë£©,Î¬ÉúËØB9£¨Ò¶Ëá£©£¨Î¢¿Ë£©,Î¬ÉúËØB12£¨Î¢¿Ë£©,Î¬ÉúËØB14£¨Ìð²Ë¼î£©£¨ºÁ¿Ë£©,ÁÁ°±Ëá£¨ºÁ¿Ë£©,µ°°±Ëá£¨ºÁ¿Ë£©,ËÕ°±Ëá£¨ºÁ¿Ë£©,Àµ°±Ëá£¨ºÁ¿Ë£©,É«°±Ëá£¨ºÁ¿Ë£©,çÓ°±Ëá£¨ºÁ¿Ë£©,×é°±Ëá£¨ºÁ¿Ë£©,ÒìÁÁ°±Ëá£¨ºÁ¿Ë£©
ÆÏÌÑ,44,0.5,0.2,10.3,0.4,0.014,0.102,60,72,5,8,1.3,104,13,3.65,2,0.4,0.18,0.2,0.09,0.06,30,25,0.7,0.04,0.02,0.2,5.6,0.024,0.11,4,0,0,11,7,13,13,6,13,8,8
Ãµ¹å¹û,162,1.6,0.34,38.22,24.1,0,0,2381,2484,169,69,4,429,61,0.001712,6.168,1.06,0.25,0,0.113,1.02,1303.5,426,5.84,0.016,0.166,1.3,12,0.8,0.076,3,0,2.9,0,0,0,0,0,0,0,0
Î÷Ã·¸É,339,3.7,0.73,89.07,0,0.483,0.159,0,0,72,64,5,1058,112,0.012626,7.71,3.52,0.75,0,0.611,0.312,528.6,0,0,0.118,0.165,2.995,0,0.418,0.745,2,0,0,0,0,0,0,0,0,0,0
Î÷Ã·¸É£¨ìÀ£©,113,1.23,0.24,29.7,0,0.161,0.053,0,0,24,21,2,353,37,0.004922,3.084,1.17,0.25,0,0.204,0.104,156.9,0,0,0.046,0.03,0.985,0,0.108,0.191,0,0,0,0,0,0,0,0,0,0,0
ÐÓ×Ó£¨Àä¶³¡¢¼ÓÌÇ£©,98,0.7,0.1,25.1,2.2,0.044,0.02,0,0,10,9,4,229,19,1.18114,6.168,0.9,0.1,0.4,0.064,0.05,504,9,0,0.02,0.04,0.8,0,0.2,0.06,2,0,0,39,3,24,49,8,24,13,20
ÐÓ£¨¸ÉÔï¡¢Áò»¯£©,85,1.2,0.18,22.15,2.6,0.026,0.026,765,0,19,11,4,411,25,2.94454,6.168,0.94,0.14,0.8,0.121,0.083,382.5,0.3,1.53,0.005,0.026,0.915,4.9,0.211,0.051,3,0,0,37,5,26,29,6,28,17,22
ÐÓ£¨¸ÉÔï£¬Áò»¯£©,113,1.17,0.15,29.26,4.1,0.064,0.029,0,0,15,15,3,443,38,2.35854,4.626,1.52,0.24,0,0.138,0.088,641.7,1.4,0,0.005,0.027,0.853,0,0.191,0.103,0,0,0,69,6,42,81,21,43,19,36
ÐÓ£¨ÍÑË®¡¢Áò»¯£©,320,4.9,0.62,82.89,0,0.268,0.121,0,0,61,63,13,1850,157,9.4366,20.046,6.31,1,0,0.576,0.369,3800.7,9.5,0,0.043,0.148,3.58,0,1.067,0.52,4,0,0,288,24,176,339,87,179,81,151
ÐÓ£¨ÍÑË®£©,126,1.93,0.24,32.62,0,0.105,0.047,0,0,24,25,5,728,62,3.75339,7.71,2.48,0.39,0,0.227,0.145,1322.1,7.1,0,0.013,0.067,1.63,0,0.468,0.161,2,0,0,113,10,70,134,34,70,32,59
ÐÓ£¨¹ÞÍ·¡¢Ë®°ü×°£©,27,0.71,0.16,6.39,1.6,0.069,0.031,1170,37,8,7,3,192,13,1.39625,4.626,0.32,0.11,0.1,0.082,0.053,587.7,3.4,0.6,0.021,0.023,0.395,1.8,0.092,0.054,2,0,0,42,4,26,49,13,26,12,22
ÐÓ£¨¹ÞÍ·¡¢ÇáÌÇ½¬£©,63,0.53,0.05,16.49,1.6,0.021,0.01,789,33,11,8,4,138,13,1.18071,6.168,0.39,0.11,0.1,0.079,0.052,396.6,2.7,0.6,0.016,0.02,0.304,1.8,0.092,0.054,2,0,0,31,3,19,37,9,19,9,16
ÐÓ£¨¹ÞÍ·¡¢Å¨ÌÇ½¬£©,83,0.53,0.08,21.47,1.6,0.033,0.015,735,33,9,7,4,140,12,1.18114,6.168,0.3,0.11,0.1,0.078,0.051,369,3.1,0.6,0.02,0.022,0.376,1.8,0.092,0.054,2,0,0,31,3,19,37,9,19,9,16
ÐÓ£¨¹ÞÍ·¡¢Å¨ÌÇ½¬£©,83,0.51,0.09,21.45,1.6,0.037,0.017,0,0,9,8,11,134,13,1.18103,16.962,0.43,0.1,0,0.065,0.051,372,2.8,0,0.019,0.023,0.416,0,0.092,0.054,2,0,0,30,3,18,36,9,19,8,16
ÐÓ£¨¹ÞÍ·¡¢Å¨ÌÇ½¬£©,83,0.64,0.11,21.31,2.7,0.045,0.021,1746,55,10,7,4,143,13,0.002247,6.168,0.3,0.11,0.1,0.097,0,877.2,3.1,0.89,0.021,0.024,0.376,2.8,0,0.055,2,0,0,0,0,0,0,0,0,0,0
Àî×Ó¸É£¨ìÀÖó¡¢²»¼ÓÌÇ£©,107,0.96,0.16,28.08,3.1,0.08,0.026,198,106,19,18,1,321,30,0.002568,1.542,0.41,0.19,0.1,0.123,0.131,102.6,2.9,0.19,0.024,0.1,0.723,4.4,0.107,0.218,0,0,0,0,0,0,0,0,0,0,0
ÐÓ£¨¸ÉÔï¡¢Áò»¯£©,241,3.39,0.51,62.64,7.3,0.074,0.074,2163,0,55,32,10,1162,71,8.29961,15.42,2.66,0.39,2.2,0.343,0.235,1081.2,1,4.33,0.015,0.074,2.589,13.9,0.516,0.143,10,0,0.3,105,15,73,83,16,78,47,63
ÌÒ×Ó£¨¹Þ×°¡¢Å¨ÌÇ½¬£©,74,0.45,0.1,19.94,1.3,0.035,0.047,165,129,3,5,6,92,11,3.43418,9.252,0.27,0.09,0.3,0.051,0.045,99.6,2.8,0.49,0.011,0.024,0.614,4.1,0.05,0.019,3,0,0,26,11,18,15,1,25,8,13
ÌÒ×Ó£¨Ó¤¶ùÊ³Æ·£©,65,0.94,0.33,14.48,1.3,0.01,0.04,378,231,4,7,4,195,15,0.001605,6.168,0.23,0.11,0.1,0.03,0.037,205.8,46.1,1.99,0.015,0.077,1.64,8.5,0.083,0.018,21,0,0.4,0,0,0,0,0,0,0,0
À¶Ý®,57,0.74,0.33,14.49,2.4,0.047,0.146,32,80,6,6,1,77,12,4.71996,1.542,0.28,0.16,0.1,0.057,0.336,16.2,9.7,0.57,0.037,0.041,0.418,6,0.124,0.052,6,0,0.2,44,12,20,13,3,31,11,23
ÖÐ»ªâ¨ºïÌÒ,61,0.8,0.6,14.5,2.6,0.047,0.287,52,122,27,12,10,144,26,2.9,15.42,1.2,0.57,0.28,1.87,0.73,26.1,62,2.43,0.05,0.02,0.3,7.8,0.183,0.063,25,0,0.5,30,6,24,16,14,34,12,26
ºÚÝ®,43,1.39,0.49,9.61,5.3,0.047,0.28,128,118,29,20,1,162,22,0.00214,1.542,0.62,0.53,0.4,0.165,0.646,64.2,21,1.17,0.02,0.026,0.646,8.5,0.276,0.03,25,0,0.3,0,0,0,0,0,0,0,0
²ÝÝ®,32,1,0.2,7.1,1.1,0.043,0.155,7,26,18,12,4.2,131,27,4.13,6.48,1.8,0.14,0.7,0.04,0.49,3.6,47,0.71,0.02,0.03,0.3,5.7,0.125,0.047,24,0,0.2,45,8,27,31,9,29,15,24
ÎÞ»¨¹û,65,1.5,0.1,16,3,0.066,0.144,85,9,67,17,5.5,212,18,4.5,8.48,0.1,1.42,0.67,0.01,0.17,42.6,2,1.82,0.03,0.02,0.1,4.7,0.3,0.113,6,0,0,33,6,24,30,6,28,11,23
ËÕÀïÄÏÓ£ÌÒ,33,0.8,0.4,7.49,0,0,0,0,0,9,12,3,103,11,0.00321,4.626,0.2,0,0,0,0,450,26.3,0,0.03,0.04,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÌÒ×Ó£¨»ÆÉ«£©,39,0.91,0.25,9.54,1.5,0.067,0.086,162,158,6,9,0,190,20,5.35657,0,0.25,0.17,0.1,0.068,0.061,97.8,6.6,0.73,0.024,0.031,0.806,6.1,0.153,0.025,4,0,0.3,27,10,16,30,10,22,13,17
ÌÒ£¨¹ÞÍ·¡¢Å¨ÌÇ½¬£©,72,0.52,0.18,18.43,1.2,0.047,0.066,333,118,3,5,6,94,12,2.94614,9.252,0.27,0.09,0,0.063,0,187.8,0.7,1.19,0.02,0.02,0.625,3.8,0.024,0.013,9,0,0.3,16,5,9,17,5,12,7,10
Àî×Ó¸É,240,2.18,0.38,63.88,7.1,0.053,0.062,451,241,43,41,2,732,69,6.38246,3.084,0.93,0.44,0.3,0.281,0.299,234.3,0.6,0.43,0.051,0.186,1.882,10.1,0.422,0.205,4,0,0.4,66,16,49,50,25,56,27,41
éÏé­£¨¹Þ×°£©,116,0.84,10.9,6.04,1.6,7.652,0.629,198,510,88,4,735,8,3,2.58032,1133.37,6.28,0.22,0.9,0.251,0.02,99,0.9,1.65,0.003,0,0.037,10.3,0.015,0.009,0,0,0,50,12,26,32,0,38,23,31
éÏé­£¨ëç×Õ¡¢¹Þ×°£©,145,1.03,15.32,3.84,3.3,11.314,1.307,231,519,52,11,1556,42,4,0.002247,2399.35,0.49,0.04,0.9,0.12,0,117.9,0,3.81,0.021,0.007,0.237,14.2,0.023,0.031,3,0,0,0,0,0,0,0,0,0,0
ÓÍÌÒ,44,1.06,0.32,10.55,1.7,0.088,0.113,150,228,6,9,0,201,26,2.62864,0,0.28,0.17,0,0.086,0.054,99.6,5.4,0.77,0.034,0.027,1.125,6.2,0.185,0.025,5,0,0.2,14,6,9,16,5,13,8,9
Ôæ,79,1.2,0.2,20.23,0,0,0,0,0,21,10,3,250,23,0.00214,4.626,0.48,0.05,0,0.073,0.084,12,69,0,0.02,0.04,0.9,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0
ÊÍåÈ·ïÀæ,101,1.7,0.6,25.2,2.4,0,0,0,0,30,18,4,382,21,0.86856,6.168,0.71,0,0,0,0,9.9,19.2,0,0.08,0.1,0.5,0,0.135,0.221,0,0,0,0,4,0,37,7,0,0,0
Ó£ÌÒ£¨Ìð£©,63,1.06,0.2,16.01,2.1,0.047,0.052,38,85,13,11,0,222,21,4.82289,0,0.36,0.07,0,0.06,0.07,19.2,7,0.07,0.027,0.033,0.154,6.1,0.199,0.049,4,0,0,30,10,22,32,9,24,15,20
Ó£ÌÒ,46,1.1,0.2,10.2,0.3,0.047,0.052,38,85,11,12,8,232,27,6.11,12.34,0.4,0.23,0.21,0.1,0.07,19.2,10,2.22,0.02,0.02,0.6,6.1,0.199,0.049,4,0,0,47,16,29,29,9,31,13,32
Ó£ÌÒ£¨Ò°¡¢°×´Ì£©,304,11.4,3.9,59.8,7.9,0,0,0,0,59,60,98.5,100,28,94.1,151.89,11.4,0.31,0.05,0.06,0.77,0,0,0,0.12,0.22,3.5,0,0,0,0,0,0,434,229,278,269,165,531,128,273
ÃÛÔæ£¨ÎÞºË£©,327,1,0.1,81.9,3,0,0,0,0,24,7,15.8,104,11,0,24.36,2.4,0.33,2.24,0.1,0.13,0,104,0.3,0,0.14,0.4,0,0,0,0,0,0,55,0,37,42,0,0,18,31
ÕëÒ¶Ó£ÌÒ,32,0.4,0.3,7.69,1.1,0.082,0.09,0,0,12,18,7,146,11,0.00214,10.794,0.2,0.1,0.6,0.086,0,230.1,1677.6,0,0.02,0.06,0.4,0,0.309,0.009,14,0,0,0,0,0,0,0,0,0,0
ËáÔæ,300,3.5,1.5,73.3,10.6,0,0,0,0,435,96,3.8,84,95,0,5.86,6.6,0.68,1.3,0.34,0.86,0,900,0,0.01,0.02,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÐÓ×Ó,48,1.4,0.39,11.12,2,0.17,0.077,1113,193,13,10,1,259,23,2.09421,1.542,0.39,0.2,0.1,0.078,0.077,577.8,10,0.89,0.03,0.04,0.6,2.8,0.24,0.054,9,0,0,77,6,47,97,15,47,27,41
Ó£ÌÒ£¨Ëá¡¢ºì¡¢Àä¶³£©,46,0.92,0.44,11.02,1.6,0.12,0.132,522,61,13,9,1,124,16,0.004708,1.542,0.53,0.1,0,0.09,0.057,261,1.7,0.05,0.044,0.034,0.137,5.6,0.178,0.067,5,0,0,0,0,0,0,0,0,0,0
ÐÓ×Ó£¨¹ÞÍ·¡¢²»´øÆ¤£©,22,0.69,0.03,5.48,1.1,0.013,0.006,0,0,8,9,11,154,16,1.18114,16.962,0.54,0.11,0,0.068,0.053,543,1.8,0,0.02,0.024,0.437,0,0.092,0.054,2,0,0,40,3,25,48,12,25,11,21
Ó£ÌÒ£¨Ëá¡¢ºì£©,50,1,0.3,12.18,1.6,0.082,0.09,770,85,16,9,3,173,15,0.00321,4.626,0.32,0.1,0,0.104,0.112,384.9,10,0.07,0.03,0.04,0.4,6.1,0.143,0.044,8,0,0,0,0,0,0,0,0,0,0
¾ÆÔæ,148,1.6,0.2,35.7,1.4,0,0,0,0,75,20,0.8,444,45,10.08,1.23,1.4,0.43,1.15,0.1,0.2,0,0,0,0.05,0.04,0.4,0,0,0,0,0,0,59,27,36,45,0,60,13,42
ÃÛÔæ,333,1.3,0.2,84.4,5.8,0,0,89,23,59,19,25.1,284,22,7.66,38.7,3.5,0.25,1,0.07,0.2,44.7,55,0,0.01,0.1,0.4,9.9,0.805,0.249,15,0,0.4,55,17,37,42,7,66,18,31
ºÚÔæ,247,3.7,0.5,61.4,9.2,0,0,0,0,42,46,1.2,498,66,0.01,1.85,3.7,1.71,0.23,0.97,0.37,0,6,1.24,0.07,0.09,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ºÚÔæ£¨ÎÞºË£©,234,1.7,0.3,57.3,2.6,0,0,0,0,108,32,6.3,478,63,0,9.71,1.2,0.44,0.53,0.21,0.59,0,0,1.88,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÃÜÔÆÐ¡Ôæ,229,3.9,0.8,55.2,7.3,0,0,0,0,80,41,9.3,612,66,0.01,14.34,2.7,0.65,1.1,0.2,0.39,0,0,0,0.06,0.04,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÀÖÁêÔæ,233,3.3,0.6,57.9,8.8,0,0,0,0,34,41,0,420,52,0.01,0,2.9,1.01,1.46,0.39,0.28,0,54,4.77,0.06,0.13,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
½ðË¿Ð¡Ôæ,308,1.2,1.1,76.7,7,0,0,0,0,23,24,7.4,65,0,0,11.41,1.5,0.23,1,0.36,0.34,0,0,1.31,0.04,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ôæ£¨¸É¡¢´ó£©,317,2.1,0.4,81.1,9.5,0,0,0,0,54,39,8.3,185,34,0.01,12.8,2.1,0.45,1.54,0.31,0.34,0,7,0,0.08,0.15,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ôæ,125,1.1,0.3,30.5,1.9,0,0,0,0,22,25,1.2,375,23,0.01,1.85,1.2,1.52,0.8,0.06,0.32,12,243,0.78,0.06,0.09,0.9,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0
Ôæ£¨¸É£©,276,3.2,0.5,67.8,6.2,0,0,0,0,64,36,6.2,524,51,18.81,9.56,2.3,0.65,1.02,0.27,0.39,0,14,3.04,0.04,0.16,0.9,0,0,0,0,0,0,87,44,57,58,0,88,22,74
ÐÓ¸É,338,2.7,0.4,83.2,4.4,0.074,0.074,2163,0,147,55,40.4,783,89,0,62.3,0.3,3.8,3.33,7.67,0.24,1081.2,0,0,0,0.01,1.2,13.9,0.516,0.143,10,0,0.3,0,0,0,0,0,0,0,0
Àî×ÓÐÓ,37,1,0.1,8.6,1.1,0,0,0,0,3,0,1.5,103,11,3.21,2.31,0.2,0.23,0.09,0,0,0,16,0,0.03,0.01,0.5,0,0,0,0,0,0,36,0,23,33,0,36,12,23
ÔçÌÒ,41,0.4,0.1,10.1,1.1,0,0,0,0,4,3,1.3,155,10,0.01,2,0.4,0.1,0,0.08,0.03,0,12,0.71,0.05,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Àî×Ó,38,0.7,0.2,8.7,0.9,0.134,0.044,190,108,8,10,3.8,144,11,1.5,5.86,0.6,0.14,0.23,0.04,0.16,103.5,5,0.74,0.03,0.02,0.4,1.9,0.135,0.029,5,0,0,25,2,19,26,2,21,10,18
¾Ã±£ÌÒ,42,0.6,0.1,10,0.6,0,0,0,0,10,8,2,100,16,0,3.08,0.4,0.14,0.1,0.04,0.12,0,8,1.15,0.04,0.04,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÌÒ,51,0.9,0.1,12.2,1.3,0.067,0.086,162,158,6,7,5.7,166,20,5.84,8.79,0.8,0.34,0.24,0.05,0.07,97.8,7,1.54,0.01,0.03,0.7,6.1,0.153,0.025,4,0,0.3,36,16,26,25,7,26,12,22
öùÀæ,120,2.23,10.06,7.82,5.6,5.513,1.676,80,36,10,24,2,351,40,17.3092,3.084,0.17,0.4,0,0.311,0.095,42,17.4,2.66,0.021,0.053,0.672,0,0.931,0.078,35,0,0,160,42,82,147,28,120,55,94
öùÀæ,167,1.96,15.41,8.64,6.8,9.799,1.816,87,298,13,29,8,507,54,15.172,12.336,0.61,0.68,0.4,0.17,0.149,44.1,8.8,1.97,0.075,0.143,1.912,14.2,1.463,0.287,89,0,0.7,141,37,72,129,25,105,48,83
Æ»¹û£¨¸ÉÔï£©,57,0.22,0.07,15.32,2,0.003,0.022,7,10,3,4,20,105,9,1.23164,30.84,0.33,0.05,0.3,0.044,0.021,5.1,1,0.12,0.006,0.019,0.129,3.8,0.057,0.05,0,0,0,13,2,8,13,2,10,3,8
Æ»¹û£¨¸ÉÔï£©,83,0.2,0.07,20.73,1.9,0.003,0.02,0,0,3,3,19,98,8,1.23164,29.298,0.31,0.04,0,0.042,0.02,4.8,0.9,0,0.006,0.018,0.121,0,0.054,0.047,0,0,0,12,2,7,13,2,9,3,8
Æ»¹û£¨ÍÑË®£©,346,1.32,0.58,93.53,12.4,0.024,0.171,35,52,19,22,124,640,55,7.60592,191.208,2,0.29,1.8,0.271,0.128,24.3,2.2,0.75,0.046,0.13,0.68,23.1,0.432,0.28,1,0,0,81,13,47,82,12,61,21,52
Æ»¹û£¨¹ÞÍ·£©,67,0.18,0.43,16.84,2,0.017,0.126,24,36,4,3,3,70,6,0.964963,4.626,0.24,0.05,0.3,0.051,0.165,16.8,0.2,0.21,0.009,0.01,0.081,3.2,0.032,0.044,0,0,0,11,2,7,11,2,8,3,7
ºì°²ÈãÀæ,62,0.33,0.14,14.94,3,0,0,14,54,11,7,1,123,13,0.698284,1.542,0.19,0.13,0.1,0.07,0.056,7.2,5.2,0.12,0.012,0.028,0.162,5.1,0.053,0.039,7,0,0,17,2,10,15,1,15,1,10
Àæ£¨Ó¤¶ùÊ³Æ·£©,42,0.3,0.2,10.8,2.8,0.042,0.046,9,37,8,8,1,130,12,0.001391,1.542,0.24,0.08,0.4,0.065,0,5.1,24.5,0.09,0.013,0.028,0.189,3.6,0.09,0.008,4,0,0,0,0,0,0,0,0,0,0
Àæ,57,0.36,0.14,15.23,3.1,0.084,0.094,15,46,9,7,1,116,12,0.965284,1.542,0.18,0.1,0.1,0.082,0.048,7.5,4.3,0.12,0.012,0.026,0.161,5.1,0.049,0.029,7,0,0.2,19,2,11,17,2,17,2,11
Å£ÓÍ¹û,160,2,14.66,8.53,6.7,9.799,1.816,86,299,12,29,7,485,52,15.3862,10.794,0.55,0.64,0.4,0.19,0.142,43.8,10,2.07,0.067,0.13,1.738,14.2,1.389,0.257,81,0,0.7,143,38,73,132,25,107,49,84
ºìÐÇÆ»¹û,59,0.27,0.2,14.06,2.3,0,0,27,43,6,5,1,104,12,0.483605,1.542,0.11,0.04,0,0.027,0.034,16.5,0,0.24,0.015,0.025,0.075,3.4,0.051,0.034,3,0,0,13,1,6,13,1,12,5,6
Æ»¹û£¨²»´øÆ¤£©,48,0.27,0.13,12.76,1.3,0.005,0.037,17,31,5,4,0,90,11,0.484033,0,0.07,0.05,0,0.031,0.038,11.4,4,0.05,0.019,0.028,0.091,3.4,0.071,0.037,0,0,0,14,1,6,13,1,12,5,6
Ê·ÃÜË¹ÄÌÄÌÆ»¹û,58,0.44,0.19,13.61,2.8,0,0,59,66,5,5,1,120,12,0.002033,1.542,0.15,0.04,0.1,0.031,0.044,30,0,0.18,0.019,0.025,0.126,3.4,0.056,0.037,3,0,0,0,0,0,0,0,0,0,0
½ð¹ÚÆ»¹û,57,0.28,0.15,13.6,2.4,0,0,25,40,6,5,2,100,10,0.483926,3.084,0.13,0.04,0,0.03,0.035,15.3,0,0.18,0.018,0.026,0.094,5.1,0.074,0.051,3,0,0,14,1,6,13,1,13,5,6
Ê¢ÑçÆ»¹û,57,0.25,0.12,13.68,2.3,0,0,11,22,7,5,1,108,11,0.001819,1.542,0.12,0.05,0,0.021,0.037,8.4,0,0.18,0.017,0.029,0.075,3.4,0.055,0.049,3,0,0,0,0,0,0,0,0,0,0
¸ßÉ½°×ÌÒ,42,0.7,0.2,10.1,1.3,0,0,0,0,7,4,0.7,169,11,0,1.08,0.8,0.13,0,0.05,0.04,0,10,1.05,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¸»Ê¿Æ»¹û,63,0.2,0.18,15.22,2.1,0,0,17,22,7,5,1,109,13,0.001391,1.542,0.1,0.04,0,0.025,0.031,11.4,0,0.18,0.013,0.026,0.07,3.4,0.051,0.045,3,0,0,0,0,0,0,0,0,0,0
Æ»¹û,52,0.26,0.17,13.81,2.4,0.007,0.051,27,40,6,5,1,107,11,0.483819,1.542,0.12,0.04,0,0.027,0.035,16.2,4.6,0.18,0.017,0.026,0.091,3.4,0.061,0.041,3,0,0.1,13,1,6,12,1,12,5,6
ÃÛÌÒ£¨Ë®ÃÛÌÒ£©,43,0.9,0.2,9.8,0.8,0,0,0,0,10,9,2.9,169,21,3.16,4.47,0.5,0.06,0.23,0.08,0.11,0,4,1,0.02,0.03,1,0,0,0,0,0,0,22,6,20,22,7,20,8,14
ºµ¾Ã±£ÌÒ,48,0.9,0.1,11.3,0.8,0,0,0,0,12,10,1.8,144,18,0,2.78,0.2,0.13,0.1,0.06,0.1,0,10,0.53,0.03,0.02,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ëá´Ì,112,2.8,0.3,25.5,2.2,0,0,0,0,105,24,8.3,259,39,20.6,12.8,11.7,1.1,4.49,8.51,0.47,0,74,1.52,0.02,0.04,0.2,0,0,0,0,0,0,179,30,109,165,24,150,58,116
Ãæµ°,91,1.6,0.5,21.7,3.3,0,0,0,0,206,33,3.8,237,56,0,5.86,4.3,1.07,2.87,4.71,0.22,0,0,4.11,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÆÑÌÒ,39,0.5,0.2,10.2,2.8,0,0,0,0,4,13,1,109,14,0.22,1.54,0.3,0.17,4.32,0.08,0.07,0,25,0.7,0,0.02,0.1,0,0,0,0,0,0,59,1,0,12,4,33,20,27
Çì·áÌÒ,42,0.6,0.1,10.1,0.9,0,0,0,0,0,12,2.1,57,2,0,3.24,0.3,0,0,0.06,0.04,0,0,0.76,0.01,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÍíÌÒ,41,0.7,0.2,9.6,1,0,0,0,0,6,4,0.5,168,13,0.01,0.77,0.3,0.17,0,0.07,0.02,0,11,0.21,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
µõµ°,65,0.8,0.4,16.8,4.4,0,0,0,0,11,8,0.6,136,9,0,0.93,0.2,0.39,1.66,0.09,0.12,0,0,2.19,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
É³¹û,70,0.4,0.1,17.8,2,0,0,0,0,5,9,2.1,123,14,0,3.24,1,0.2,0.48,0.08,0.08,0,3,0.09,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
º£ÌÄ¹û,76,0.3,0.2,19.2,1.8,0,0,0,0,15,13,0.6,263,16,0.01,0.93,0.4,0.04,0,0.11,0.11,0,20,0.25,0.05,0.03,0.2,0,0,0,0,0,0,7,0,5,6,0,9,2,6
ºì¹û£¨¸É£©,251,4.3,2.2,28.7,49.7,0,0,0,0,144,0,9.9,440,440,0,15.27,0.4,0.61,2.7,0.41,0.57,0,2,0.47,0.02,0.18,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ºì¹û,102,0.5,0.6,25.1,3.1,0,0,0,0,52,19,5.4,299,24,2.67,8.33,0.9,0.28,1.22,0.11,0.24,0,53,7.32,0.02,0.02,0.4,0,0,0,0,0,0,28,0,18,24,0,36,6,0
öùÀæ,161,2,15.3,7.4,2.1,9.799,1.816,87,298,11,39,10,599,41,13.57,15.42,1,0.42,0,0.26,0.23,44.1,8,0,0.11,0.12,1.9,14.2,1.463,0.287,89,0,0.7,123,37,66,94,21,97,29,71
×ÏËÖÀæ,51,0.3,0.1,13.3,2,0,0,0,0,1,7,1.7,86,16,0,2.62,0,0,0,0.1,0.06,0,9,3.64,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ºµËÖÀæ,50,0.2,0.2,13.6,3.6,0,0,0,0,12,6,0.2,137,12,0,0.31,0.2,0.07,0.37,0.04,0.03,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ËÕÃ·Àæ,77,1.2,0.2,20.5,5.7,0,0,0,0,9,10,0.9,39,19,0,1.39,0.9,0.16,0.04,0.19,0.06,0,1,0.66,0.02,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÈíÀæ,32,0.4,0.2,11.7,9.1,0,0,0,0,25,12,1,105,19,0,1.54,0.9,1.21,8.43,4.69,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Æ»¹ûÀæ,53,0.2,0.1,13.9,2.3,0,0,0,0,4,9,2.4,180,19,2.84,3.7,0.4,0.04,3.26,0.12,0.04,0,4,0,0,0.01,0.5,0,0,0,0,0,0,7,7,7,6,9,10,5,6
